mapname,filesize,filesize_bz2,sha1
$2000$,869920,547352,11d723eae41c2c8f6345ade9f3086bdb00dcc13b
$2000$_HeLL_Remix,19113947,14144400,b9ed132362411838a94b06b116165b1c85140fc8
1hp_classique,3193082,829694,60c1155cd9ad285c5e5f2cda41b8e553566762ef
1v1dust,1337276,365692,5dc128b973e96f8568f33a8dfdad946bdab03ac4
All_in_one_velocity_v1,41956202,13810001,f0b94cadf54079bc41991339933d9c1e1a35e010
Ba_Jail_Canyondam_v4,27812682,11125062,777fd551406a6ce37c23971f963eac61cefc6412
Ba_Jail_Canyondam_v4_Fix,28226451,11282676,6ca6386278a5d1ae96c18b410c63571b3942399e
Ba_Jail_KAJOLY1_FIX1,17903148,5177592,405ab2386381407c3e2fd0adb1e86ebc040a75dd
Ba_Jail_KAJOLY_ARMY1,19327881,5892951,26fd41773812efac6708cd9971e3a329e45d514a
Ba_Jail_KAJOLY_V2,25897885,7308287,893aa2061a72727ea5a39a62ef3947101c6d1042
Ba_hs_MiniJail,3151269,938515,b008aa90a6c8721c8df9a8766b8b087ed6d6946d
Ba_jail_Unions_Multiworlds,28632271,14421285,734cec59e483c3f3b480295a60b237d73df6e0d8
Bossfight_justinbieber_v2,42330400,20767729,6bc3e1d8cacaa921f89e9168879636722df5c307
DR_Ramesses_Revenge_v3,9479658,4010209,a94a6e761680902b929f252fc79d896ae4b5008f
DR_canal,2486404,852003,a08afc11957e8668e87e28d16eea3a8a14b0e977
DR_combine,13268664,3535382,2cfec3f4231f83baabc9458215aa5ea229905bf8
DR_sector,5972816,2464607,08b29ad0e83ed932ff23f940825abb86e32442a4
DR_sector_V2,6883316,3102307,9942cdb15662a79c74a9874c190482e4f581113c
DR_trap_hallway_v2,2555044,1179530,9633afe086daaa7e8cc80a66c78f02b453a7a440
DR_zombie_school_final,5646236,1943054,b8dea723bce154a2775ee1af1e318e192c592010
Deathrun_Gyro_Final_v2,7689928,2168212,ee4f9903a86bbe728b26b170bb517f4e49f79bd7
Deathrun_ItalyRats_Final,12103615,4475083,d2d04b0ee634337756f819628b65c7cc9d523816
Deathrun_MarioWorld_final,36208364,14801963,64d149187709a35d1bbb2b1a9f793f4d0f445991
Deathrun_Risen_beta_v3f,14771487,3911346,eb40d40606b3397b10b5da34b9727dee43c0331c
Deathrun_Serz_fix2,55856367,6383442,73af8f1fbfe7d944dfe54fb985f68df30b81f402
Deathrun_Southpark_Final,35701654,12625196,356b94ec748fd803744aebaac744e2751d0ead9b
Deathrun_Spongebob_Finalfix2,53698826,13564393,1de3da3ab772fd53a9b591117d08425297067804
Deathrun_Spongebob_Finalfix3,53936127,13564361,7214cadb61aeb5070e98fd56485b77f63f39dee0
Deathrun_StarWars_b1,60435143,33814330,21dc2ab7274c2e70ad8682885a5c2596d60c6534
Deathrun_Stygian_b2,25408963,9869045,2c506cb25afc71751e7b636cd2ff56da5bfe1ed6
Deathrun_SunnyDay_Final_Fix,34146628,14705172,094b43c6f05d72e1767b3659ca5edc1edcad44a0
Deathrun_ratrace,3613932,1050097,df8787c9e56f5f687a45fc292c1e9e8680c25496
Deathrun_whatever,25449611,8058720,04f85c1ed178eb93e3c221a45253b3c90327d51a
Dr3w_SniperWars,2008644,464179,61b85052ba1d87b0d3f46151e0298d9c7cd851b7
Dr_Peace&Love,33931478,11895940,4164f7d47aa9a78391793bf140c6ff463164af6f
Fun_Race1,5705076,2106912,b9393893739707dfee9041db025aec6928ae5e72
GG_FlyingDutchman,11698137,4099982,350c5d1a195a916e646493660532ee6694b4b8cf
GG_cb_Arctic,5414240,1998803,d75209ef7f80aa9d6ecd0cf4f586c617b3850023
HG_Forest,38709936,8395829,76bbfd0a58db752e768f01b771bc59fcddbb5379
Jb_Halloween,136521982,63817477,4ba4893f84c65b54bf1c29969c7d6da823eeeafb
Jb_Halloween_fix,141965742,65837007,3bcba2be84c8a98738d971fe23189e3a207071f4
Ka_Hailend2,841448,163517,37f0efb231bd6f8a5884e663a6fcec69b46ee3c8
SK_Simple,567048,167855,3b477b4d917ec242cbb26a13bc0e32255219713a
SansPlayGround_beta,746460,267492,5a83f57ff40df4d3f08d3b8aed19e06ab596119c
SansPlayground,812792,307678,22242e5ffc10d4f3ef9e12c7ff174afc03b814ce
Saw_Puzzle_Final,13256237,5806968,4ad5ac7f52ad993fbbbc4e9a849cfe8569cab6af
Saw_Puzzle_v1fixx,13238817,5776973,c22b21400af9b93d95cbd109b12a6b4ee15c6ded
