mapname,filesize,filesize_bz2,sha1,note
surf_excess,19844592,19748780,2a903124ba63fcde0f18210b7017fdb5e5afb4c5,
surf_techslop,81534290,81760732,ce3784093cb4998302707a63cf179947dfbf5858,
surf_vantica,31404877,31504142,f72e98a9759a6ac3cc480def43b518becc702189,
surf_1024,150852228,151194716,4a0a09891d51df047a5bd0ac5d911ee9294d7af3,
surf_anomaly,173294107,173771677,efbc60d33f0ae2a782a89b178479b56ab84f75ae,
surf_centipedes,36299671,36255384,e9d70c6dfbe748f3e733980743bac007748c7b2d,
surf_disappointed,74853736,74810918,5c30dedb51b32e841632b596f24f264b59484d87,
surf_haze,29105088,29074784,9f556e422db744662bb871d1055e985f552b2b18,
surf_zae,26406351,26414212,e4302ef98a212c86738a96e458f38d29c29554d0,
surf_tycho2,21001753,20971805,5559244ce8554bcac0b3e668c0b609da613967fe,
surf_disappointed_fix,15210424,6446362,8ee6929e484dc5792d0aab213cd35fd7ac64ba2e,
surf_pyzire_retexture,24410335,24479851,f719cad02e18144269218eff5628d55bd8b5ba17,
surf_race_final,77485929,77598086,7aaf60c61e691facb7f005142c1c6d280494f10c,
surf_sirena,116357959,116489157,c852ee45ab5aba77e5376994414059d80364e6fc,
surf_quake,196916668,68887782,042133679dfe22f337f7efd0dc9be0ce301fd6c5,
surf_yolo,32701184,32650865,0524555970f28af9ca50afa48bca0ba56be1c21b,
surf_bossfight,83235698,83096610,146ba48ca5f7f284203ee269cfde0913d2479069,
surf_eternity,152328411,152517989,b643076a0322fe67ac885525b8b40bc88bce303a,
surf_fairy,255105927,251333338,c3b175d4831933b5e09d1c18b3175f8fd1525ff4,
surf_for_shareholder_value,78294471,77909449,bfe4fa1066c06d352f0856e7cf1107f71d21f7ef,
surf_hedron,48132877,48121831,c0b184e577061e424d8fbd89014fdc24d844a8e5,
surf_imaginarium,148710062,148865791,67607fd4537af3b83d0c32a1415c922265db3c08,
surf_lucid,192423060,192363006,3cf3b8c729aaca35a6e222d05ac3221be7103e5d,
surf_oneiric,216674187,216869965,b6e88afeffeb18587f26ac7fb8cd42e2ef7bb2d9,
surf_phantasia,24951331,24803802,1244ee8f1369af6b52dd6a2263e1675bf8baaa00,
surf_reverie,171871886,172486833,fd4c10b9ffff138dc183f59cc251b9215c6f9592,
surf_shape,31834683,31672368,270a93bb45a88c3a5c85a66de5bd97624b447030,
surf_surreal,117281680,116629710,ae8b914c21bf522b7a76639af5c0fe647df2aa78,
surf_unrequited,29905764,28220625,d56c1139aa77fc7e39ceb4c2529ae18c8de9a329,
surf_pride,263744936,263691388,19ed977ab9c4c05dccd7fe7d523ae782f36d7e02,
